PaymentID,ShipmentID,Amount,PaymentDate,PaymentMethod
1,80567,64.27,2026-01-19 10:20:55.526,Bank Transfer
2,78100,124.86,2026-01-19 14:30:04.586,Credit Card
3,56591,15.23,2025-06-01 17:26:38.638,Cash
4,67761,81.53,2025-03-28 18:15:23.101,Bank Transfer
5,86495,106.18,2025-08-21 02:09:08.145,Cash
6,96344,22.44,2026-01-03 16:45:58.504,Cash
7,52170,61.54,2025-05-16 02:02:57.392,PayPal
8,16472,147.23,2025-10-02 19:11:42.104,PayPal
9,41596,27.21,2025-04-03 15:02:22.927,Cash
10,6463,23.37,2025-05-18 19:15:24.800,Cash
11,99240,18.99,2025-05-15 14:16:27.537,Cash
12,61442,71.79,2025-09-07 01:50:44.259,Cash
13,40751,11.15,2025-10-22 21:58:09.968,Bank Transfer
14,36745,67.76,2025-04-19 23:00:21.431,PayPal
15,5891,42.44,2025-10-15 16:56:21.776,Credit Card
16,49394,129.07,2026-03-01 01:20:58.193,PayPal
17,43828,8.63,2025-11-20 20:33:31.211,PayPal
18,10607,55.3,2025-09-18 11:06:41.065,PayPal
19,39804,93.52,2026-01-04 22:29:58.058,PayPal
20,24213,26.05,2025-07-07 16:07:15.869,PayPal
21,69080,101.72,2026-01-08 12:42:46.706,Cash
22,29954,86.61,2025-04-04 11:54:36.378,Cash
23,54161,6.43,2025-03-20 12:23:56.230,Cash
24,4720,56.77,2025-05-05 11:37:16.503,PayPal
25,99042,78.31,2025-05-06 02:18:38.388,PayPal
26,52655,128.24,2025-04-01 21:53:47.756,Credit Card
27,78109,76.16,2025-03-10 22:38:36.482,Credit Card
28,23219,36.41,2026-01-06 00:06:40.220,Bank Transfer
29,68208,23.29,2025-11-27 17:01:28.935,Credit Card
30,87336,97.54,2025-03-26 18:16:30.345,Cash
31,92403,6.39,2025-08-22 23:53:52.664,Cash
32,68394,105.34,2025-05-15 19:27:32.739,Credit Card
33,5252,141.35,2026-02-02 23:04:16.920,Credit Card
34,19633,104.3,2025-03-02 09:09:01.730,Bank Transfer
35,17884,84.56,2025-04-29 03:30:51.045,Bank Transfer
36,89435,36.31,2025-05-14 14:00:13.053,PayPal
37,54897,27.25,2025-12-30 06:29:44.943,Cash
38,41827,134.32,2025-08-04 13:26:15.650,Credit Card
39,61305,26.64,2026-01-15 01:52:06.917,Cash
40,72038,36.31,2026-01-07 22:06:43.717,Cash
41,15493,32.28,2025-03-17 22:40:53.897,Cash
42,40582,112.81,2025-07-11 12:44:42.010,PayPal
43,66114,67.1,2026-01-02 15:44:47.221,Cash
44,40330,23.73,2026-01-12 05:00:15.530,PayPal
45,68026,71.49,2025-04-07 19:16:25.184,Bank Transfer
46,79445,92.66,2025-05-17 21:09:48.980,PayPal
47,17732,118.73,2025-12-02 09:04:19.265,Bank Transfer
48,48914,28.61,2026-02-14 19:06:11.439,Cash
49,34260,74.55,2025-12-17 22:18:30.701,Credit Card
50,93495,57.83,2026-01-24 17:57:20.840,PayPal
51,36765,114.05,2025-04-19 03:19:03.151,Credit Card
52,13678,120.84,2025-03-10 09:21:11.908,Cash
53,16562,102.59,2025-07-20 04:34:22.399,Cash
54,42787,60.55,2025-05-09 14:03:50.848,Cash
55,78603,114.7,2025-07-24 22:52:34.850,PayPal
56,59277,88.71,2025-10-25 10:47:10.910,Credit Card
57,48701,91.38,2025-12-30 13:20:59.048,Credit Card
58,79868,34.77,2026-01-01 16:07:13.886,Credit Card
59,47981,27.13,2026-01-08 12:04:50.598,Cash
60,99775,136.96,2025-10-13 02:23:46.510,Cash
61,2837,73.92,2026-02-23 12:17:21.331,Credit Card
62,2287,13.02,2025-08-01 07:55:34.281,Cash
63,82699,27.87,2025-08-11 17:57:19.126,Cash
64,11846,131.99,2025-05-10 22:57:05.315,PayPal
65,20012,139.23,2025-08-13 16:50:22.759,Cash
66,24762,139.49,2025-12-14 06:11:01.587,Cash
67,68816,122.85,2025-12-26 03:15:15.654,PayPal
68,44690,43.16,2025-04-27 00:10:47.974,Credit Card
69,80710,127.83,2025-06-29 21:03:38.154,PayPal
70,5662,61.21,2025-12-29 17:06:21.587,PayPal
71,19372,11.7,2026-02-04 06:45:45.617,Credit Card
72,87485,34.63,2025-03-24 12:30:00.009,Bank Transfer
73,84970,121.2,2025-03-28 06:13:21.938,Credit Card
74,93518,62.68,2025-12-04 15:00:47.022,Cash
75,94187,111.52,2025-10-08 08:54:43.137,PayPal
76,80922,53.89,2025-06-05 21:47:28.442,Bank Transfer
77,73897,63.5,2025-09-23 08:13:43.598,Credit Card
78,92312,9.52,2025-04-19 18:57:01.820,Bank Transfer
79,33539,70.41,2025-03-18 00:10:37.160,PayPal
80,8121,27.36,2025-03-09 08:20:03.973,Bank Transfer
81,3637,127.99,2025-06-15 13:07:25.256,Credit Card
82,67415,18.14,2025-03-22 08:42:28.160,Bank Transfer
83,57597,29.37,2025-08-28 06:32:28.831,Cash
84,96145,119.21,2025-03-15 14:43:07.200,Credit Card
85,80689,104.2,2025-10-25 02:16:01.260,Credit Card
86,88859,83.26,2026-01-14 22:06:17.964,Cash
87,2342,103.64,2025-11-20 10:07:41.817,Bank Transfer
88,72635,83.65,2025-09-13 09:01:12.494,PayPal
89,65979,131.44,2025-09-17 15:16:31.905,PayPal
90,37592,23.43,2025-03-19 02:09:42.324,Bank Transfer
91,15203,43.33,2025-12-15 17:09:35.237,PayPal
92,21254,30.47,2025-07-20 05:12:22.502,Bank Transfer
93,6948,58.6,2026-01-04 15:54:11.606,Cash
94,63018,64.19,2025-07-13 21:31:00.033,PayPal
95,76966,8.55,2025-05-27 22:40:02.880,PayPal
96,68146,114.17,2025-03-18 07:46:38.495,Credit Card
97,51342,66.35,2026-02-09 08:52:53.600,Cash
98,26043,80.13,2025-11-23 20:00:15.194,Bank Transfer
99,91335,92.36,2025-04-03 04:03:23.662,PayPal
100,88281,21.0,2026-01-21 15:33:39.432,Credit Card
101,51853,132.24,2025-05-10 04:20:10.833,Credit Card
102,51245,104.24,2025-10-10 09:56:15.011,Cash
103,15738,135.98,2026-01-26 15:17:28.368,Credit Card
104,52902,60.74,2025-10-04 15:10:51.144,Credit Card
105,77734,63.98,2025-10-28 18:54:24.297,Cash
106,30732,114.86,2026-01-09 22:25:21.389,Bank Transfer
107,18160,115.31,2025-08-23 13:12:07.859,Credit Card
108,51604,146.78,2025-12-23 17:23:49.530,Bank Transfer
109,68821,50.02,2025-11-18 07:28:08.228,Bank Transfer
110,11624,63.15,2025-05-19 07:54:31.055,PayPal
111,37180,93.27,2025-07-07 22:25:43.639,PayPal
112,65584,134.75,2025-06-01 01:53:52.898,Bank Transfer
113,73730,94.03,2025-10-19 07:46:19.898,Credit Card
114,65656,95.19,2025-04-24 03:38:30.586,Cash
115,9797,16.21,2025-04-03 02:43:23.491,PayPal
116,81497,144.29,2026-01-08 10:58:23.752,Bank Transfer
117,18932,21.1,2025-06-09 03:18:39.957,PayPal
118,73590,7.88,2025-04-12 01:43:17.109,Credit Card
119,86648,50.2,2025-03-02 14:44:58.920,Credit Card
120,92494,133.7,2025-06-26 13:44:37.716,PayPal
121,74858,131.46,2025-12-07 10:13:41.035,Bank Transfer
122,50708,112.76,2026-02-05 17:40:22.719,Cash
123,27081,40.44,2025-10-30 04:01:41.267,Cash
124,7352,128.41,2025-03-06 19:55:05.404,Credit Card
125,47833,126.77,2025-11-17 21:25:26.977,Bank Transfer
126,67134,54.25,2025-07-15 19:20:14.445,PayPal
127,20794,87.95,2025-12-30 04:48:35.159,Cash
128,53084,141.5,2025-07-24 14:28:59.387,Credit Card
129,56851,97.71,2026-02-16 13:46:29.104,PayPal
130,71407,73.84,2025-05-14 08:16:43.444,PayPal
131,62502,82.3,2026-01-05 07:15:22.359,Credit Card
132,54887,90.45,2025-06-04 03:23:40.712,PayPal
133,68957,139.63,2025-12-10 11:03:19.171,Cash
134,16161,127.36,2025-04-15 16:26:38.392,Cash
135,78005,47.01,2025-07-30 00:07:01.421,PayPal
136,51047,52.87,2025-07-15 05:55:20.815,PayPal
137,6018,140.82,2025-06-17 18:43:46.913,Credit Card
138,19045,48.11,2025-05-16 02:33:34.843,Credit Card
139,2201,108.44,2026-01-02 04:13:50.111,Cash
140,53904,103.64,2025-06-20 09:21:43.229,Cash
141,405,84.26,2025-07-08 16:16:19.444,Cash
142,72913,32.09,2026-01-28 10:02:31.829,Cash
143,5804,41.11,2025-07-04 09:04:23.558,Cash
