ShipmentID,TrackingNumber,SenderID,ReceiverID,OriginHubID,DestinationHubID,CreatedDate,PromisedDeliveryDate,DeliveredDate,ServiceType,PackageWeight_KG,PackageVolume_CM3,DeclaredValue,ShippingFee,StatusID,MaterialID,FinalFailureReasonID
1,TRK-268776886,44152,12193,11,2,2025-09-08 00:00:00.000,2025-09-09 00:00:00.000,2025-09-08 00:00:00.000,Same-Day,20.29,9654.47,235.4,127.94,5,82,
2,TRK-642578442,30456,30989,12,8,2025-06-19 00:00:00.000,2025-06-26 00:00:00.000,2025-06-25 00:00:00.000,Standard,31.01,5009.7,1971.78,136.89,5,15,
3,TRK-943519983,5654,61818,11,7,2025-06-21 00:00:00.000,2025-06-28 00:00:00.000,,Standard,4.65,4753.6,1103.96,41.13,6,4,7
4,TRK-310330455,83409,74633,1,7,2025-03-07 00:00:00.000,2025-03-10 00:00:00.000,2025-03-09 00:00:00.000,Express,12.05,1428.81,1034.03,10.9,5,95,
5,TRK-106259678,2429,10176,7,12,2025-09-24 00:00:00.000,2025-10-01 00:00:00.000,2025-10-01 00:00:00.000,Standard,17.98,4527.57,797.06,62.79,5,36,
6,TRK-57994059,31421,36748,5,12,2025-05-16 00:00:00.000,2025-05-23 00:00:00.000,,Standard,21.92,3096.51,1891.7,27.93,6,32,17
7,TRK-161853205,29339,85994,3,10,2026-02-09 00:00:00.000,2026-02-16 00:00:00.000,,Standard,25.4,7342.47,150.67,61.59,6,29,17
8,TRK-898285824,15493,30738,4,8,2025-04-25 00:00:00.000,2025-04-28 00:00:00.000,,Express,30.71,4994.17,1305.02,23.85,6,18,3
9,TRK-234300839,25156,59365,2,4,2025-10-31 00:00:00.000,2025-11-03 00:00:00.000,,Express,1.26,7974.57,551.65,65.59,6,95,6
10,TRK-885923202,80730,34329,2,8,2025-11-27 00:00:00.000,2025-12-04 00:00:00.000,2025-12-04 00:00:00.000,Standard,37.7,3579.38,160.84,20.62,5,14,
11,TRK-150944118,13505,5519,8,12,2025-12-29 00:00:00.000,2026-01-05 00:00:00.000,2026-01-05 00:00:00.000,Standard,33.29,3527.7,1725.24,88.33,5,87,
12,TRK-101849582,79948,69578,11,10,2025-10-16 00:00:00.000,2025-10-23 00:00:00.000,2025-10-26 00:00:00.000,Standard,43.23,8344.38,1358.69,100.98,5,95,
13,TRK-90767125,60020,47037,12,1,2025-03-26 00:00:00.000,2025-03-29 00:00:00.000,2025-03-28 00:00:00.000,Express,6.48,4405.7,1452.69,137.49,5,70,
14,TRK-631051832,81697,66098,8,7,2026-02-08 00:00:00.000,2026-02-11 00:00:00.000,2026-02-10 00:00:00.000,Express,44.92,9962.21,1352.62,40.21,5,12,
15,TRK-520375154,76755,95944,7,4,2026-01-07 00:00:00.000,2026-01-10 00:00:00.000,2026-01-11 00:00:00.000,Express,7.19,5346.9,676.22,38.05,5,76,
16,TRK-588599133,88791,30690,10,7,2025-12-29 00:00:00.000,2026-01-05 00:00:00.000,2026-01-04 00:00:00.000,Standard,27.92,6317.19,240.4,29.61,5,55,
17,TRK-437422154,65217,95043,12,3,2026-02-18 00:00:00.000,2026-02-25 00:00:00.000,2026-02-25 00:00:00.000,Standard,24.96,9930.58,502.21,71.91,5,5,
18,TRK-382701262,17477,42833,8,6,2025-03-22 00:00:00.000,2025-03-29 00:00:00.000,2025-03-28 00:00:00.000,Standard,11.62,3267.16,170.35,93.71,5,4,
19,TRK-803751388,85810,61280,10,11,2025-07-24 00:00:00.000,2025-07-27 00:00:00.000,,Express,12.57,7049.25,889.03,56.37,6,12,4
20,TRK-485086357,70045,89791,5,2,2025-06-11 00:00:00.000,2025-06-18 00:00:00.000,2025-06-18 00:00:00.000,Standard,24.09,6668.82,733.22,99.37,5,28,
21,TRK-779807157,81247,97126,1,10,2025-11-12 00:00:00.000,2025-11-15 00:00:00.000,2025-11-14 00:00:00.000,Express,27.04,6969.87,914.55,12.66,5,30,
22,TRK-389263015,29208,18916,6,5,2025-09-04 00:00:00.000,2025-09-11 00:00:00.000,2025-09-11 00:00:00.000,Standard,27.22,5616.04,1104.71,81.13,5,65,
23,TRK-960758196,11836,65507,11,1,2025-03-18 00:00:00.000,2025-03-25 00:00:00.000,2025-03-25 00:00:00.000,Standard,4.08,5993.48,541.96,99.04,5,78,
24,TRK-521468638,5183,84383,3,12,2025-11-15 00:00:00.000,2025-11-22 00:00:00.000,2025-11-26 00:00:00.000,Standard,48.59,1809.12,262.32,45.38,5,4,
25,TRK-828003697,51050,46964,10,11,2025-11-01 00:00:00.000,2025-11-08 00:00:00.000,,Standard,44.42,9393.12,1512.49,34.53,6,72,8
26,TRK-380831584,52224,56701,11,1,2025-04-07 00:00:00.000,2025-04-14 00:00:00.000,2025-04-14 00:00:00.000,Standard,27.97,4833.04,1920.7,111.4,5,26,
27,TRK-683245060,9208,72816,2,3,2026-01-06 00:00:00.000,2026-01-09 00:00:00.000,2026-01-08 00:00:00.000,Express,22.35,9470.38,870.64,55.58,5,92,
28,TRK-848369601,42595,56410,3,8,2025-08-19 00:00:00.000,2025-08-20 00:00:00.000,2025-08-19 00:00:00.000,Same-Day,13.82,8228.12,992.15,142.13,5,84,
29,TRK-985694446,19877,5691,4,1,2026-02-12 00:00:00.000,2026-02-19 00:00:00.000,,Standard,1.89,2556.26,438.44,112.07,6,90,4
30,TRK-319477138,70098,52090,8,5,2025-05-21 00:00:00.000,2025-05-28 00:00:00.000,2025-05-28 00:00:00.000,Standard,35.91,8137.61,977.99,23.1,5,70,
31,TRK-472028077,46679,7943,2,12,2025-05-11 00:00:00.000,2025-05-14 00:00:00.000,2025-05-13 00:00:00.000,Express,44.75,3946.29,727.4,136.4,5,54,
32,TRK-279871041,32688,90001,7,5,2025-03-18 00:00:00.000,2025-03-25 00:00:00.000,2025-03-29 00:00:00.000,Standard,0.81,7668.73,489.7,130.43,5,29,
33,TRK-733397223,94391,78460,5,4,2025-04-02 00:00:00.000,2025-04-05 00:00:00.000,2025-04-05 00:00:00.000,Express,2.03,3706.93,1727.87,128.57,5,58,
34,TRK-248868970,72982,63911,1,1,2025-11-26 00:00:00.000,2025-11-27 00:00:00.000,2025-11-26 00:00:00.000,Same-Day,21.57,293.07,1221.21,121.33,5,76,
35,TRK-988976573,79408,41235,3,8,2025-10-28 00:00:00.000,2025-10-31 00:00:00.000,,Express,11.32,4719.89,420.18,68.96,6,36,5
36,TRK-278412992,704,11978,6,5,2026-02-13 00:00:00.000,2026-02-16 00:00:00.000,2026-02-16 00:00:00.000,Express,23.04,3035.27,560.44,94.8,5,1,
37,TRK-40025049,61572,57626,1,2,2025-10-21 00:00:00.000,2025-10-28 00:00:00.000,,Standard,33.37,1785.9,1909.78,126.55,6,98,4
38,TRK-279700834,90250,22138,9,10,2026-02-03 00:00:00.000,2026-02-10 00:00:00.000,2026-02-09 00:00:00.000,Standard,25.67,1446.19,305.08,8.54,5,21,
39,TRK-876746340,60253,64894,9,8,2025-12-31 00:00:00.000,2026-01-01 00:00:00.000,2026-01-03 00:00:00.000,Same-Day,48.45,6721.52,1277.7,100.73,5,90,
40,TRK-325740320,72466,61401,8,11,2025-03-31 00:00:00.000,2025-04-07 00:00:00.000,2025-04-06 00:00:00.000,Standard,4.31,1961.39,620.82,82.08,5,55,
41,TRK-971108409,57828,18552,12,12,2025-07-19 00:00:00.000,2025-07-22 00:00:00.000,2025-07-22 00:00:00.000,Express,48.48,3629.34,50.46,145.28,5,44,
42,TRK-259284164,79077,88448,6,7,2025-09-09 00:00:00.000,2025-09-16 00:00:00.000,2025-09-15 00:00:00.000,Standard,11.87,7680.92,1954.59,31.01,5,36,
43,TRK-9373489,41386,17311,3,1,2025-07-13 00:00:00.000,2025-07-20 00:00:00.000,2025-07-20 00:00:00.000,Standard,13.73,9988.21,1967.84,99.08,5,20,
44,TRK-698664562,6463,11249,7,9,2026-01-24 00:00:00.000,2026-01-31 00:00:00.000,,Standard,46.6,5258.08,1477.02,37.58,6,28,2
45,TRK-145374883,76299,89586,9,9,2025-07-29 00:00:00.000,2025-08-05 00:00:00.000,2025-08-09 00:00:00.000,Standard,18.47,9976.97,1791.05,56.47,5,98,
46,TRK-683070148,7497,47918,5,4,2025-10-20 00:00:00.000,2025-10-27 00:00:00.000,2025-10-28 00:00:00.000,Standard,21.8,3049.26,408.47,34.79,5,44,
47,TRK-165746118,24703,49291,2,9,2025-12-14 00:00:00.000,2025-12-15 00:00:00.000,2025-12-15 00:00:00.000,Same-Day,21.39,2164.16,212.86,73.69,5,14,
48,TRK-652867005,33358,44850,1,5,2025-07-09 00:00:00.000,2025-07-16 00:00:00.000,2025-07-16 00:00:00.000,Standard,27.84,5779.54,1961.98,75.25,5,12,
49,TRK-711151598,70997,4353,3,7,2026-01-22 00:00:00.000,2026-01-25 00:00:00.000,,Express,21.0,8456.78,1732.28,30.96,6,49,2
50,TRK-316119735,2466,92249,3,6,2025-05-11 00:00:00.000,2025-05-18 00:00:00.000,2025-05-18 00:00:00.000,Standard,35.2,8781.31,1603.8,140.2,5,13,
51,TRK-854027785,73929,97979,4,1,2025-05-26 00:00:00.000,2025-06-02 00:00:00.000,2025-06-05 00:00:00.000,Standard,41.44,1616.92,412.31,104.1,5,46,
52,TRK-967492769,59893,36384,5,6,2025-06-23 00:00:00.000,2025-06-24 00:00:00.000,2025-06-24 00:00:00.000,Same-Day,14.96,1367.5,1948.38,40.76,5,45,
53,TRK-776978788,23312,50814,9,9,2025-06-03 00:00:00.000,2025-06-10 00:00:00.000,,Standard,46.31,3190.8,,38.36,6,78,7
54,TRK-249884800,71946,90673,6,9,2025-07-28 00:00:00.000,2025-07-31 00:00:00.000,2025-07-30 00:00:00.000,Express,29.02,2155.82,1194.2,44.77,5,34,
55,TRK-324125265,11086,10099,1,8,2025-09-10 00:00:00.000,2025-09-17 00:00:00.000,2025-09-18 00:00:00.000,Standard,36.79,6441.19,1013.64,78.34,5,6,
56,TRK-208964624,29772,93935,8,11,2025-03-10 00:00:00.000,2025-03-13 00:00:00.000,2025-03-13 00:00:00.000,Express,48.93,7681.83,1434.34,27.47,5,94,
57,TRK-213968630,35836,29989,9,3,2025-06-07 00:00:00.000,2025-06-14 00:00:00.000,2025-06-14 00:00:00.000,Standard,24.23,4277.38,416.34,42.47,5,59,
58,TRK-985051524,94979,84641,3,9,2025-09-17 00:00:00.000,2025-09-24 00:00:00.000,2025-09-24 00:00:00.000,Standard,17.91,2369.06,1461.02,62.53,5,69,
59,TRK-611326226,58941,7862,4,2,2025-09-08 00:00:00.000,2025-09-15 00:00:00.000,2025-09-14 00:00:00.000,Standard,20.43,3979.87,1000.32,16.9,5,16,
60,TRK-161094529,44470,78104,4,8,2025-05-12 00:00:00.000,2025-05-19 00:00:00.000,2025-05-18 00:00:00.000,Standard,10.92,7317.99,950.05,35.36,5,49,
61,TRK-650728919,65576,24544,7,9,2025-04-07 00:00:00.000,2025-04-10 00:00:00.000,2025-04-11 00:00:00.000,Express,26.05,5705.66,1557.96,74.04,5,11,
62,TRK-51974633,36070,24224,3,2,2025-09-09 00:00:00.000,2025-09-16 00:00:00.000,2025-09-20 00:00:00.000,Standard,44.85,8391.16,1830.37,46.79,5,71,
63,TRK-221753298,98518,78234,10,1,2025-10-01 00:00:00.000,2025-10-08 00:00:00.000,,Standard,5.03,956.84,1537.67,138.18,6,38,3
64,TRK-120739636,67334,16405,1,6,2025-10-02 00:00:00.000,2025-10-05 00:00:00.000,,Express,32.36,977.34,1760.64,74.44,6,81,2
65,TRK-667573389,24853,66289,8,12,2025-10-24 00:00:00.000,2025-10-31 00:00:00.000,2025-10-30 00:00:00.000,Standard,1.31,6936.22,,65.17,5,80,
66,TRK-58618817,29097,5082,5,2,2026-02-20 00:00:00.000,2026-02-23 00:00:00.000,,Express,38.41,4524.23,1020.22,15.84,6,47,8
67,TRK-605104258,71226,67491,11,6,2025-05-03 00:00:00.000,2025-05-06 00:00:00.000,2025-05-10 00:00:00.000,Express,47.63,806.76,453.85,59.13,5,74,
68,TRK-107266478,55527,45628,4,12,2025-06-14 00:00:00.000,2025-06-21 00:00:00.000,2025-06-20 00:00:00.000,Standard,44.34,5486.39,1027.54,118.49,5,25,
69,TRK-693606522,37682,85654,12,10,2026-01-31 00:00:00.000,2026-02-07 00:00:00.000,,Standard,9.68,6736.47,1577.95,29.35,6,91,11
70,TRK-713711311,66401,23171,8,2,2025-09-10 00:00:00.000,2025-09-13 00:00:00.000,2025-09-16 00:00:00.000,Express,39.41,406.69,681.05,133.14,5,9,
71,TRK-76313993,46990,30910,6,2,2025-12-16 00:00:00.000,2025-12-23 00:00:00.000,2025-12-22 00:00:00.000,Standard,21.7,6313.01,1300.3,34.72,5,6,
72,TRK-189395959,86877,81075,1,11,2025-12-29 00:00:00.000,2026-01-01 00:00:00.000,2025-12-31 00:00:00.000,Express,36.81,6139.56,641.38,109.73,5,85,
73,TRK-389195554,90011,48209,8,7,2025-07-18 00:00:00.000,2025-07-25 00:00:00.000,2025-07-27 00:00:00.000,Standard,14.03,5065.03,1313.76,94.93,5,30,
74,TRK-575753911,12842,57849,1,10,2025-08-15 00:00:00.000,2025-08-22 00:00:00.000,2025-08-21 00:00:00.000,Standard,27.83,1478.47,18.48,52.39,5,99,
75,TRK-672365670,66267,45982,4,8,2025-09-28 00:00:00.000,2025-10-05 00:00:00.000,2025-10-04 00:00:00.000,Standard,20.82,6648.78,868.89,108.89,5,38,
76,TRK-51646255,87074,90636,2,12,2025-05-14 00:00:00.000,2025-05-21 00:00:00.000,2025-05-21 00:00:00.000,Standard,24.34,8102.47,1828.9,145.09,5,11,
77,TRK-991952450,29128,50263,11,1,2025-09-11 00:00:00.000,2025-09-18 00:00:00.000,2025-09-19 00:00:00.000,Standard,6.63,2808.8,471.57,140.98,5,30,
78,TRK-579478664,96546,14136,12,12,2025-11-23 00:00:00.000,2025-11-30 00:00:00.000,2025-12-03 00:00:00.000,Standard,24.68,4921.62,646.26,123.34,5,13,
79,TRK-480901196,82734,16431,7,3,2025-10-18 00:00:00.000,2025-10-21 00:00:00.000,2025-10-21 00:00:00.000,Express,2.52,781.05,183.93,142.65,5,49,
80,TRK-209890368,69096,19245,10,5,2025-04-15 00:00:00.000,2025-04-22 00:00:00.000,2025-04-22 00:00:00.000,Standard,24.69,9590.2,1335.7,36.29,5,36,
81,TRK-872908303,72428,70689,5,11,2025-12-21 00:00:00.000,2025-12-28 00:00:00.000,2025-12-28 00:00:00.000,Standard,31.55,1431.96,853.17,124.12,5,59,
82,TRK-585480932,60222,10762,10,3,2025-07-15 00:00:00.000,2025-07-22 00:00:00.000,,Standard,24.49,9016.94,1341.69,99.44,6,82,2
83,TRK-49695614,14430,73123,1,9,2025-06-25 00:00:00.000,2025-07-02 00:00:00.000,2025-07-01 00:00:00.000,Standard,40.49,1532.18,111.64,45.59,5,47,
84,TRK-595587938,30695,67481,5,4,2026-01-28 00:00:00.000,2026-01-29 00:00:00.000,2026-01-30 00:00:00.000,Same-Day,35.1,7195.42,548.7,134.71,5,21,
85,TRK-567786419,64239,72158,2,2,2025-08-22 00:00:00.000,2025-08-29 00:00:00.000,2025-08-28 00:00:00.000,Standard,16.29,3983.88,973.42,13.08,5,48,
86,TRK-136943475,61462,84288,12,6,2025-04-22 00:00:00.000,2025-04-29 00:00:00.000,,Standard,21.48,3860.29,238.22,64.38,6,46,10
87,TRK-316772412,13639,27722,1,11,2025-07-12 00:00:00.000,2025-07-19 00:00:00.000,2025-07-18 00:00:00.000,Standard,19.57,1209.05,1227.43,28.93,5,27,
88,TRK-340080502,82069,19343,7,6,2025-08-20 00:00:00.000,2025-08-27 00:00:00.000,2025-08-26 00:00:00.000,Standard,36.62,9605.77,341.71,81.06,5,86,
89,TRK-32702818,75609,12039,12,10,2025-09-02 00:00:00.000,2025-09-09 00:00:00.000,2025-09-09 00:00:00.000,Standard,39.41,1973.15,1419.77,103.9,5,35,
90,TRK-405625818,61408,50215,12,5,2025-03-29 00:00:00.000,2025-04-05 00:00:00.000,,Standard,40.63,4315.13,,73.57,6,90,2
91,TRK-130788711,22582,71011,7,8,2025-12-31 00:00:00.000,2026-01-03 00:00:00.000,,Express,30.45,7457.33,841.54,147.36,6,88,4
92,TRK-369369499,92651,13522,3,5,2025-12-09 00:00:00.000,2025-12-16 00:00:00.000,,Standard,5.61,9299.43,370.49,95.23,6,83,7
